"","abelmoschus","acacia","acalypha","acer","actinidia","aesculus","agropyron","albizia","allium","alnus","amaranthus","anacardium","ananas","annona","anthurium","apium","arachis","areca","artemisia","artocarpus","asparagus","avena","averrhoa","bambusa","bauhinia","berberis","beta","betula","brassica","bromus","cajanus","calophyllum","camellia","capsicum","carica","carya","cassia","castanea","casuarina","chamaecyparis","chenopodium","chrysanthemum","chrysophyllum","cicer","cichorium","cinnamomum","citrullus","citrus","clerodendrum","cocos","codiaeum","coffea","colocasia","convolvulus","corchorus","corylus","crataegus","crotalaria","croton","cucumis","cucurbita","cycas","cydonia","cynara","cynodon","cyperus","dahlia","datura","daucus","dianthus","digitaria","dimocarpus","dioscorea","diospyros","dracaena","echinochloa","elaeis","eleusine","elymus","eriobotrya","erythrina","eucalyptus","eugenia","euonymus","euphorbia","fagus","festuca","ficus","fortunella","fragaria","fraxinus","garcinia","gardenia","gladiolus","glycine","gossypium","hedera","helianthus","hemerocallis","hevea","hibiscus","hordeum","humulus","ilex","ipomoea","jasminum","juglans","juniperus","lactuca","lagerstroemia","lantana","lathyrus","lens","leucaena","ligustrum","linum","litchi","lolium","lonicera","lotus","luffa","lupinus","lycopersicon","macadamia","magnolia","malus","mangifera","manihot","manilkara","medicago","melia","mentha","momordica","morus","murraya","musa","nephelium","nerium","nicotiana","ocimum","olea","opuntia","oryza","panicum","paspalum","passiflora","pelargonium","pennisetum","persea","petunia","phaseolus","phoenix","physalis","pieris","piper","pistacia","pisum","pittosporum","plantago","platanus","plumeria","poa","polygonum","poncirus","populus","pouteria","prunus","psidium","pueraria","punica","pyrus","quercus","raphanus","rhamnus","rhododendron","rhus","ribes","ricinus","robinia","rosa","rubus","rumex","saccharum","salix","salvia","secale","senecio","setaria","sida","solanum","sonchus","sorbus","sorghum","spinacia","spondias","syringa","syzygium","tectona","terminalia","theobroma","tilia","trifolium","triticum","ulmus","urtica","vaccinium","viburnum","vicia","vigna","vitis","zea","zinnia","ziziphus"
"Bacterium90",NA,0,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,1,0,NA,0,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,1,NA,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,1,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA
"Bacterium89",0,NA,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,0,1,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,NA,0,NA,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,1,NA,0,0,NA,0,NA,0,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,1,0,NA,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0
"Bacterium1824",NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,1,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,NA,0,0,1,0,NA,0,1,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,0
"Bacterium1829",0,0,NA,NA,0,NA,NA,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,NA,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,NA,1,1,0,0,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,0,1,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,1,0,0,0,NA,NA,NA,0,NA,0,1,0,0,NA,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,NA,NA,NA,NA,0,1,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,0,NA,0,NA
"Bacterium2584",0,0,0,0,0,0,0,NA,1,0,NA,0,1,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,NA,1,0,0,NA,0,0,0,NA,1,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0,NA,NA,0,0,1,0,0,NA,0,0,1,0,0,NA,NA,1,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,1,1,1,0,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,1,1,0,NA,NA,0,0,0,0,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,1,0,NA
"Bacterium2199",NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,1,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,1,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,NA,0,1,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,1,0,0,NA,1,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,1,0,NA,NA,0,0,0,NA,NA,0,NA,0,1,NA,NA,0,0,0,NA,NA,0,0,1,0,NA,NA,0,0,NA,0,0,0,0,0,0,0
"Bacterium531",NA,0,0,NA,0,NA,NA,NA,NA,0,1,NA,0,NA,1,0,1,0,0,NA,0,0,0,0,0,0,1,0,1,0,0,NA,0,1,0,0,0,NA,NA,NA,1,1,0,NA,0,0,1,0,0,NA,NA,NA,1,0,0,0,0,NA,0,0,1,NA,0,NA,0,0,1,1,0,0,NA,NA,0,0,0,NA,0,1,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,1,1,0,0,NA,1,NA,NA,0,0,1,NA,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,NA,NA,0,1,0,0,0,0,1,NA,0,0,NA,1,0,0,1,NA,NA,1,0,NA,0,NA,0,0,NA,1,0,0,1,1,NA,1,NA,1,0,0,0,0,NA,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,0,NA,0,1,0,0,1,NA,1,0,0,1,0,NA,0,0,0,NA,0,0,NA,0,0,1,NA,0,1,NA,0,0,1,0,1,1,0
"Bacterium528",0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,1,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,1,1,0,NA,1,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,1,NA,0,0,NA,0,NA,0,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,0,1,NA,0
"Bacterium2196",NA,NA,0,NA,NA,0,0,0,1,0,1,NA,0,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,1,0,0,1,NA,0,0,0,0,NA,0,0,0,NA,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,1,0,NA,NA,0,0,1,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,1,0,NA,NA,0
"Bacterium27",0,0,0,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,1,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1,0,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,1,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,1,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,0,NA,0,0,0
