ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2631668,A,Altingiaceae,,Altingia,,"cambodiana",,"","Lecomte",Accepted,,M,WCSP (in review),763823,430536-1,"Bull. Mus. Natl. Hist. Nat.","30: 391","","1924"
kew-2631669,A,Altingiaceae,,Altingia,,"chinensis",,"","(Champ.) Oliv. ex Hance",Accepted,,M,WCSP (in review),763824,430537-1,"J. Linn. Soc., Bot.","13: 103","","1873"
kew-2631672,A,Altingiaceae,,Altingia,,"excelsa",,"","Noronha",Accepted,,M,WCSP (in review),763827,430539-1,"Verh. Batav. Genootsch. Kunsten","5(2): 41","","1790"
kew-2631673,A,Altingiaceae,,Altingia,,"gracilipes",,"","Hemsl.",Accepted,,M,WCSP (in review),763828,430540-1,"Hooker's Icon. Pl.","29: t. 2837","","1907"
kew-2631674,A,Altingiaceae,,Altingia,,"indochinensis",,"","H.T.Chang",Accepted,,M,WCSP (in review),763829,430541-1,"Acta Sci. Nat. Univ. Sunyatseni","1961(4): 53","","1961"
kew-2631675,A,Altingiaceae,,Altingia,,"multinervis",,"","C.Y.Cheng",Accepted,,M,WCSP (in review),763830,,"Notes For. Inst. Nat. Centr. Univ. Nanking, Dendrol. Ser.","1: 3","","1947"
kew-2631676,A,Altingiaceae,,Altingia,,"obovata",,"","Merr. & Chun",Accepted,,M,WCSP (in review),763831,430543-1,"Sunyatsenia","2: 238","","1935"
kew-2631677,A,Altingiaceae,,Altingia,,"poilanei",,"","Tardieu",Accepted,,M,WCSP (in review),763832,430544-1,"in Fl. Camb., Laos & Vietn.","4: 95","","1965"
kew-2631678,A,Altingiaceae,,Altingia,,"siamensis",,"","Craib",Accepted,,M,WCSP (in review),763833,430545-1,"Bull. Misc. Inform. Kew","1928: 68","","1928"
kew-2631680,A,Altingiaceae,,Altingia,,"tenuifolia",,"","Chun ex H.T.Chang",Accepted,,M,WCSP (in review),763835,430547-1,"Acta Sci. Nat. Univ. Sunyatseni","1959(2): 34","","1959"
kew-2631681,A,Altingiaceae,,Altingia,,"yunnanensis",,"","Rehder & E.H.Wilson",Accepted,,M,WCSP (in review),763836,430548-1,"Pl. Wilson.","1: 422","","1913"
kew-2348997,A,Altingiaceae,,Liquidambar,,"acalycina",,"","H.T.Chang",Accepted,,M,WCSP (in review),488515,430700-1,"Acta Sci. Nat. Univ. Sunyatseni","1959(2): 33","","1959"
kew-2348992,A,Altingiaceae,,Liquidambar,,"altingia",,"","Blume",Unresolved,,L,WCSP (in review),488510,,"Fl. Javae","17-18: 8","","1829"
tro-50295808,A,Altingiaceae,,Liquidambar,,"cerasifolia",,"","(Wall. & Griff.) Voigt",Accepted,,M,TRO,50295808,1004446-1,"Hort. Suburb. Calcutt.","301","301","1845"
kew-2348967,A,Altingiaceae,,Liquidambar,,"formosana",,"","Hance",Accepted,,M,WCSP (in review),488485,430709-1,"Ann. Sci. Nat., Bot.","V, 5: 215","","1866"
tro-15100213,A,Altingiaceae,,Liquidambar,,"obovata",,"","Merr. & Chun",Unresolved,,L,TRO,15100213,,"Sunyatsenia","2: 238","238","1935"
kew-2348980,A,Altingiaceae,,Liquidambar,,"orientalis",,"","Mill.",Accepted,,M,WCSP (in review),488498,430714-1,"Gard. Dict. ed. 8","2","","1768"
kew-2348877,A,Altingiaceae,,Liquidambar,,"styraciflua",,"","L.",Accepted,,M,WCSP (in review),488397,430718-1,"Sp. Pl.","999","","1753"
tro-15100222,A,Altingiaceae,,Semiliquidambar,,"cathayensis",,"","Hung T. Chang",Accepted,,L,TRO,15100222,,"Acta Sci. Nat. Univ. Sunyatseni","1: 37","37","1962"
tro-15100227,A,Altingiaceae,,Semiliquidambar,,"caudata",,"","Hung T. Chang",Accepted,,M,TRO,15100227,,"Acta Sci. Nat. Univ. Sunyatseni","1: 37","37","1962"
kew-2589293,A,Altingiaceae,,Semiliquidambar,,"chingii",,"","(F.P.Metcalf) H.T.Chang",Accepted,,M,WCSP (in review),722816,430758-1,"Acta Sci. Nat. Univ. Sunyatseni","1962(1): 42","","1962"
